Id,Label
0,2
1,2
2,3
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,1
14,2
15,2
16,2
17,1
18,4
19,2
20,2
21,2
22,2
23,2
24,2
25,3
26,2
27,2
28,2
29,3
30,3
31,1
32,1
33,1
34,1
35,3
36,3
37,3
38,1
39,3
40,3
41,2
42,1
43,2
44,1
45,3
46,3
47,3
48,2
49,3
50,3
51,3
52,1
53,1
54,1
55,2
56,3
57,3
58,3
59,3
60,1
61,3
62,1
63,1
64,3
65,1
66,1
67,1
68,1
69,1
70,3
71,3
72,3
73,3
74,1
75,2
76,3
77,3
78,3
79,3
80,1
81,2
82,1
83,2
84,1
85,1
86,3
87,3
88,3
89,3
90,3
91,2
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,2
108,2
109,2
110,1
111,3
112,2
113,2
114,2
115,1
116,1
117,3
118,3
119,3
120,3
121,2
122,2
123,3
124,3
125,2
126,3
127,3
128,3
129,1
130,1
131,1
132,1
133,1
134,2
135,2
136,2
137,2
138,2
139,1
140,2
141,2
142,1
143,2
144,3
145,2
146,2
147,2
148,1
149,1
150,1
151,1
152,1
153,2
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,2
164,1
165,1
166,3
167,2
168,2
169,2
170,5
171,5
172,5
173,5
174,5
175,4
176,5
177,3
178,4
179,1
180,3
181,1
182,1
183,1
184,2
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,2
196,2
197,2
198,3
199,2
200,1
201,2
202,1
203,1
204,1
205,1
206,2
207,1
208,1
209,1
210,1
211,2
212,2
213,1
214,1
215,2
216,2
217,2
218,2
219,1
220,1
221,2
222,3
223,2
224,1
225,1
226,2
227,1
228,1
229,1
230,1
231,3
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,2
241,2
242,2
243,4
244,2
245,2
246,1
247,2
248,1
249,1
250,2
251,2
252,1
253,3
254,2
255,2
256,2
257,1
258,2
259,3
260,2
261,1
262,2
263,1
264,1
265,1
266,3
267,3
268,3
269,3
270,1
271,2
272,2
273,1
274,1
275,1
276,2
277,2
278,2
279,2
280,2
281,2
282,1
283,2
284,3
285,1
286,1
287,1
288,1
289,2
290,2
291,2
292,2
293,2
294,1
295,1
296,1
297,2
298,1
299,2
300,1
301,1
302,1
303,2
304,3
305,2
306,2
307,1
308,2
309,1
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,1
318,3
319,2
320,2
321,1
322,1
323,1
324,1
325,1
326,2
327,2
328,2
329,1
330,2
331,3
332,2
333,3
334,3
335,3
336,3
337,2
338,2
339,2
340,2
341,1
342,2
343,2
344,2
345,2
346,3
347,2
348,3
349,3
350,2
351,1
352,2
353,2
354,2
355,2
356,2
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,3
368,1
369,1
370,2
371,2
372,2
373,3
374,2
375,3
376,2
377,3
378,1
379,1
380,2
381,2
382,2
383,2
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,2
392,2
393,1
394,1
395,2
396,1
397,1
398,1
399,3
400,2
401,4
402,2
403,3
404,4
405,2
406,3
407,2
408,3
409,3
410,3
411,2
412,2
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,2
423,1
424,1
425,2
426,1
427,3
428,1
429,3
430,1
431,1
432,1
433,1
434,1
435,1
436,2
437,2
438,1
439,1
440,1
441,2
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,2
461,1
462,2
463,3
464,1
465,1
466,1
467,3
468,1
469,2
470,1
471,2
472,2
473,2
474,4
475,4
476,4
477,3
478,3
479,1
480,3
481,3
482,3
483,1
484,1
485,1
486,2
487,1
488,2
489,2
490,2
491,1
492,1
493,1
494,1
495,1
496,2
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,3
505,3
506,3
507,2
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,2
522,2
523,1
524,1
525,1
526,1
527,1
528,3
529,2
530,2
531,1
532,1
533,1
534,1
535,1
536,1
537,2
538,2
539,1
540,1
541,1
542,1
543,1
544,2
545,2
